Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2026,South Carolina,54926136.535838604,5729095.149340808,564115229.5802422,1111.5951525431992
2027,South Carolina,56097522.35187149,5797156.784437031,575226799.5150795,1131.9961563628185
2028,South Carolina,57268908.1679039,5865218.419533253,586338369.4499168,1152.397160182425
2029,South Carolina,58440293.98393679,5933280.054629475,597449939.384758,1172.798164002039
2030,South Carolina,59611679.79996967,6001341.689725697,608561509.3195953,1193.1991678216564
2031,South Carolina,60783065.61600256,6069403.324821919,619673079.2544327,1213.6001716412738
2032,South Carolina,61954451.43203497,6137464.959918171,630784649.1892738,1234.0011754608786
2033,South Carolina,63125837.248067856,6205526.595014393,641896219.1241112,1254.4021792804924
2034,South Carolina,64297223.06410074,6273588.2301106155,653007789.0589485,1274.80318310011
2035,South Carolina,65468608.88013315,6341649.865206838,664119358.9937897,1295.2041869197164
2036,South Carolina,66639994.69616604,6409711.50030306,675230928.928627,1315.605190739332
2037,South Carolina,67811380.51219893,6477773.135399282,686342498.8634644,1336.0061945589496
2038,South Carolina,68982766.32823133,6545834.770495504,697454068.7983055,1356.4071983785543
2039,South Carolina,70154152.14426422,6613896.405591756,708565638.7331429,1376.8082021981718
2040,South Carolina,71325537.96029711,6681958.040687978,719677208.6679802,1397.2092060177874
2020,South Dakota,10101147.901197135,585241.7848158814,96425992.57463264,1275.2161035357883
2021,South Dakota,10334008.940748572,569932.2451886646,98249291.55932713,1305.956850470732
2022,South Dakota,10566869.980300069,554622.7055614479,100072590.54402208,1336.6975974056827
2023,South Dakota,10799731.019851506,539313.1659342349,101895889.52871656,1367.4383443406255
2024,South Dakota,11032592.059402943,524003.6263070181,103719188.51341105,1398.179091275569
2025,South Dakota,11265453.09895438,508694.08667980134,105542487.498106,1428.9198382105126
2026,South Dakota,11498314.138505816,493384.5470525846,107365786.48280048,1459.6605851454563
2027,South Dakota,11731175.178057253,478075.00742536783,109189085.46749544,1490.4013320804002
2028,South Dakota,11964036.21760875,462765.4677981511,111012384.45218992,1521.1420790153509
2029,South Dakota,12196897.257160187,447455.9281709343,112835683.4368844,1551.8828259502939
2030,South Dakota,12429758.296711624,432146.3885437213,114658982.42157936,1582.623572885237
2031,South Dakota,12662619.33626306,416836.84891650453,116482281.40627384,1613.3643198201805
2032,South Dakota,12895480.375814497,401527.3092892878,118305580.39096832,1644.1050667551242
2033,South Dakota,13128341.415365934,386217.769662071,120128879.37566328,1674.8458136900676
2034,South Dakota,13361202.45491743,370908.23003485426,121952178.36035776,1705.5865606250184
2035,South Dakota,13594063.494468868,355598.6904076375,123775477.34505224,1736.3273075599623
2036,South Dakota,13826924.534020305,340289.15078042075,125598776.3297472,1767.0680544949057
2037,South Dakota,14059785.573571742,324979.611153204,127422075.31444168,1797.8088014298494
2038,South Dakota,14292646.613123178,309670.07152599096,129245374.29913616,1828.5495483647917
2039,South Dakota,14525507.652674615,294360.5318987742,131068673.28383112,1859.2902952997356
2040,South Dakota,14758368.692226112,279050.99227155745,132891972.2685256,1890.0310422346865
2020,Tennessee,73438956.66009998,6167116.199424155,684349352.174572,1149.708389400268
2021,Tennessee,75181069.10137892,6175592.598120928,697297886.0433388,1175.147069177192
2022,Tennessee,76923181.54265785,6184068.996817701,710246419.9121094,1200.585748954115
2023,Tennessee,78665293.98393726,6192545.39551447,723194953.7808762,1226.024428731047
2024,Tennessee,80407406.4252162,6201021.794211242,736143487.649643,1251.4631085079718
2025,Tennessee,82149518.86649513,6209498.192908015,749092021.5184135,1276.9017882848948
2026,Tennessee,83891631.30777407,6217974.591604788,762040555.3871803,1302.3404680618196
2027,Tennessee,85633743.749053,6226450.990301561,774989089.2559471,1327.7791478387435
